hoco_tf	gc	len	cpg_percentage_mean	cpg_percentage_median	cpg_percentage_stdev	promoter_percentage_mean	promoter_percentage_median	promoter_percentage_stdev	n_chip_samples
AHR	0.6322991759368786	9	0.048233296695358925	0.036231884057971016	0.043607443342427735	0.12144621545609212	0.12701612903225806	0.07402855872575896	5
ANDR	0.4561666666666666	12	0.04966125920996197	0.013358801697353628	0.09835640122359078	0.1234049283965643	0.07279243650744609	0.12635266423919542	229
ARI3A	0.1810402350488524	22	0.08315560424292155	0.0974726821747	0.041314862400258216	0.2186519445234097	0.23609339117121714	0.06719959290743469	3
ARI5B	0.4051282051282051	13	0.4605064415815193	0.4605064415815193	0.0	0.5979617542654301	0.5979617542654301	0.0	1
ARNT	0.6048888888888888	9	0.16750848743547553	0.15077146612305764	0.15513811634522154	0.28201114410005745	0.2977229842658832	0.17603883713422402	6
ARNT2	0.6891615541922289	12	0.4907306434023992	0.4907306434023992	0.0	0.6746945898778359	0.6746945898778359	0.0	1
BMAL1	0.5995565410199556	11	0.6945448212877952	0.7036775106082037	0.018495375145530648	0.7883812902930905	0.7914893617021277	0.01289319574529443	3
ASCL1	0.6235119047619049	14	0.08580159074390713	0.07680209171694613	0.04121419858230335	0.2558945653934121	0.2643531202653796	0.05347824444493117	14
ASCL2	0.641950567802271	9	0.4953553683300929	0.4953553683300929	0.0	0.6744450768355151	0.6744450768355151	0.0	1
ATF1	0.5141818181818182	11	0.41390455464873865	0.3388106978313256	0.2024828234179216	0.5625947069611772	0.5267349769985035	0.196945634121386	10
ATF2	0.4667272727272727	11	0.1901576271159044	0.14986330522866542	0.14631814107404156	0.3720447806329079	0.33990737903704504	0.12831183618646058	8
ATF3	0.5574545454545453	11	0.2464166303193677	0.1982259930582337	0.17775929632007195	0.3937556678803865	0.36527215474583896	0.1876063012628421	21
ATF4	0.3988333333333332	12	0.08065258206360806	0.02371171798125777	0.1095784227078049	0.19931848480089065	0.1411366069127935	0.16163487324593234	8
ATF7	0.4403022633804031	11	0.14074074074074075	0.14074074074074075	0.0	0.2857142857142857	0.2857142857142857	0.0	1
ATOH1	0.5911111111111109	9	0.6671015438138725	0.6671015438138725	0.0	0.7949678800856531	0.7949678800856531	0.0	1
BACH1	0.6001600739397099	13	0.2035975652931657	0.1799728342891639	0.1023655428868632	0.3175189712320955	0.3321691405762754	0.13438116471385214	5
BACH2	0.4974545454545454	11	0.10259926516675424	0.07624939739675397	0.05402436060899669	0.2036081043808995	0.17355594452672682	0.08000397740352795	5
BARH1	0.2886239948013971	13	0.5982658959537572	0.5982658959537572	0.0	0.7928571428571428	0.7928571428571428	0.0	1
BARX1	0.3063991323210412	12	0.28624067415637144	0.28624067415637144	0.19053066131701668	0.4630087704597509	0.4630087704597509	0.2183076152827675	2
BARX2	0.2448818897637795	10	0.6642675698560542	0.6642675698560542	0.0	0.8304514889529299	0.8304514889529299	0.0	1
BATF	0.3965454545454545	11	0.09866665024748812	0.06384311732908551	0.0816710956878789	0.21399949205087893	0.1799660869739899	0.10195885688916836	4
BATF3	0.38235294117647056	17	0.010423053341508276	0.010423053341508276	0.0	0.06097560975609756	0.06097560975609756	0.0	1
BC11A	0.4410348759029428	17	0.2742023951926055	0.3096169204256296	0.1734424507856976	0.3888142212898639	0.4452833415521892	0.17587927764622985	8
BCL6	0.4399999999999999	13	0.2309276841817373	0.17850956323236866	0.16127872385424422	0.3789739753157757	0.33523820828126405	0.17181898589789493	14
BHE40	0.6157999999999999	10	0.26371027196005065	0.2415841233772877	0.08525742233666464	0.4138517595707034	0.39417545390107545	0.11418271004855265	8
BPTF	0.3888888888888888	12	0.1976102496558457	0.10344827586206896	0.2092840012832073	0.3320981641658802	0.2	0.298950980792998	3
BRCA1	0.4743557129240377	9	0.4063193231657196	0.4271659196737647	0.28462294994594073	0.5231155948203061	0.5962613690389976	0.3156244067853057	6
PEBB	0.5217630853994489	11	0.4731998055273756	0.5390117035110533	0.23089121337196525	0.566491997076981	0.6400900900900901	0.17636783118019836	9
CDC5L	0.3233333333333333	15	0.2660878579038072	0.2660878579038072	0.0216032798884094	0.4593693827374719	0.4593693827374719	0.004949760751123414	2
CDX1	0.2654569892473117	8	0.0	0.0	0.0	0.0	0.0	0.0	1
CDX2	0.3581677704194261	12	0.08700560018861217	0.03902544868416974	0.11099368815200183	0.19047510798301626	0.15657342657342654	0.17487210288812366	9
CEBPA	0.4263333333333332	12	0.1971403799409218	0.054143885446474235	0.21321311691951725	0.31963606916310144	0.1803344559404748	0.2321542593073496	18
CEBPB	0.41152716593245225	12	0.052831811480522614	0.048802946593001835	0.03911663866726325	0.15004037936957662	0.13852611940298507	0.06966491364468161	77
CEBPD	0.4755454545454546	11	0.2333818316108241	0.2397189152640603	0.1809161723733032	0.3922058913335329	0.4162808800032775	0.2203610460087336	3
CEBPG	0.3968333333333332	12	0.1036175526902208	0.04656101213760422	0.1270686414432794	0.2633352629803773	0.18276526556666264	0.19167553669294432	5
CEBPZ	0.4910037878787879	11	0.3539124043429357	0.3869533936212639	0.2732556405302146	0.5709095338299287	0.691138915170654	0.3582307815285701	4
CLOCK	0.5518707482993196	14	0.18657486182648675	0.1327583889220161	0.20657249474258904	0.3182839420798401	0.3527470432090402	0.2352305915859997	4
CREB1	0.4894545454545454	11	0.3953148859683814	0.3689917009951731	0.16015098014704926	0.5479534145460175	0.5167142059920267	0.14155586597887534	30
CREB3	0.5707196029776674	13	0.2674764841114814	0.2641796200345423	0.024702612939739167	0.4361579920267276	0.3850342690827153	0.09377503480359099	3
CR3L2	0.5587177383731936	13	0.19230769230769232	0.19230769230769232	0.0	0.4166666666666667	0.4166666666666667	0.0	1
CREM	0.5352086438152012	11	0.1969497016044344	0.19540201378899846	0.12776757572559652	0.3668336074015585	0.371191484011567	0.14235176530500973	3
CTCF	0.6975789473684211	19	0.13978174843735205	0.1282400957589823	0.05405290459185698	0.2552342515306959	0.2487255599783096	0.06446432333522903	500
CTCFL	0.7473202614379089	17	0.3304156682498619	0.3665392578436057	0.12260065552146415	0.4716392420364609	0.5240211052485421	0.14535528162023048	7
CUX1	0.4740987196765499	14	0.11011793279430784	0.07901591895803184	0.07587209560074439	0.26168614152619657	0.23414634146341465	0.0970479158250029	13
DBP	0.3363636363636364	11	0.4944029850746269	0.4944029850746269	0.0	0.7136038186157518	0.7136038186157518	0.0	1
DLX1	0.2298915152676	16	0.4214624477950025	0.4214624477950025	0.0	0.6355551305345701	0.6355551305345701	0.0	1
DLX2	0.1482558139534883	8	0.004291845493562232	0.004291845493562232	0.0	0.07001166861143522	0.07001166861143522	0.0	1
DLX4	0.2283970276008493	16	0.36813186813186816	0.36813186813186816	0.0	0.6738738738738739	0.6738738738738739	0.0	1
DLX6	0.24402460456942	15	0.24503311258278146	0.24503311258278146	0.0	0.6762589928057554	0.6762589928057554	0.0	1
DUX4	0.23545454545454544	11	0.12837823767663872	0.011771986147090123	0.2366508997822588	0.09339379184595348	0.09339379184595348	0.014805795605603803	2
E2F1	0.6738571428571428	14	0.7150602454008148	0.7944922139736907	0.1927526810365308	0.7657833260547005	0.8206361201958612	0.17148242408842013	42
E2F2	0.7060606060606062	10	0.2274332648870637	0.2274332648870637	0.0	0.4161579892280072	0.4161579892280072	0.0	1
E2F3	0.6070909090909091	11	0.4904775063948586	0.4904775063948586	0.07108294770068369	0.7045670444131518	0.7045670444131518	0.20829217221131927	2
