0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	id	path	cell	gene	hoco_tf	tf
3	2	3	5	5	6	6	3	6	1	3	1	7	4	6	3	5	4	1	3	1	6	5	5	4	2	2	5	5	4	0	2	1	1	4	3	5	5	1	3	3	4	2	5	6	6	3	2	4	10	1	2	5	5	4	2	4	2	1	3	4	1	1	5	4	9	5	13	12	12	31	42	117	197	309	308	216	124	56	27	9	8	4	9	3	2	5	7	6	4	4	2	6	4	4	3	4	0	8	3	1	1	7	7	2	4	6	1	6	2	3	4	4	2	2	3	4	3	5	2	3	4	3	4	3	4	3	2	4	3	3	7	3	2	4	4	4	2	5	4	1	2	0	2	6	3	7	3	7	1	84534_GATA1_K562_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/84534_GATA1_K562_3_3	K562	GATA1	GATA1	GATA1_HUMAN.H11MO.0.A
5	5	10	6	11	10	11	8	7	10	7	8	7	9	3	7	13	4	9	9	4	6	14	9	6	4	8	13	5	11	5	7	3	11	8	7	6	7	9	2	4	6	12	5	14	8	5	12	5	7	8	13	13	12	11	7	5	4	5	4	6	7	7	5	6	12	19	23	17	24	37	86	171	361	520	509	368	198	73	38	26	20	16	9	7	8	5	8	8	7	7	9	7	6	10	9	7	5	7	11	7	8	10	6	10	11	9	6	6	8	8	9	4	3	9	10	5	6	7	11	8	4	8	5	8	5	5	3	7	7	13	6	7	4	4	13	13	6	3	9	6	4	7	8	6	10	8	14	8	11	88355_GATA1_K562_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/88355_GATA1_K562_3_3	K562	GATA1	GATA1	GATA1_HUMAN.H11MO.0.A
32	42	39	30	33	34	35	27	33	38	32	39	30	24	38	29	35	31	38	38	31	29	40	41	41	39	29	48	31	35	37	34	39	41	50	42	37	42	31	41	42	48	34	47	41	39	58	39	38	47	34	31	30	48	39	48	39	30	32	33	42	32	20	40	41	37	43	68	82	106	161	208	409	843	1577	1631	856	380	248	133	107	75	44	49	42	39	40	35	26	46	51	30	43	30	46	46	36	45	34	39	42	33	41	35	34	33	34	38	27	35	35	51	29	37	31	34	36	40	42	39	37	38	35	38	33	36	44	35	36	44	39	33	34	40	39	30	44	38	32	33	46	33	42	38	40	28	35	46	35	34	55730_GATA1_K562_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/55730_GATA1_K562_3_3	K562	GATA1	GATA1	GATA1_HUMAN.H11MO.0.A
20	17	21	21	26	23	24	18	23	17	19	24	22	20	18	25	23	23	14	22	16	27	21	12	20	29	19	22	20	21	11	24	20	20	17	17	23	16	24	29	21	19	20	32	28	25	21	19	20	26	22	15	19	29	31	13	22	25	16	18	23	22	10	23	27	31	40	33	52	74	120	229	456	678	976	943	661	358	203	108	73	52	44	33	25	28	24	23	17	19	19	20	17	21	26	21	27	27	21	30	29	25	30	25	21	15	17	14	15	19	23	27	19	24	18	26	24	30	19	17	18	17	26	25	16	26	17	19	17	23	27	19	21	16	23	20	25	26	22	16	22	20	23	17	18	19	20	30	22	21	55729_GATA1_K562_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/55729_GATA1_K562_3_3	K562	GATA1	GATA1	GATA1_HUMAN.H11MO.0.A
25	19	15	26	33	25	23	19	22	26	19	25	24	17	19	19	29	21	22	27	15	23	30	33	18	26	23	19	19	27	20	19	27	27	21	15	27	22	31	21	26	25	18	32	28	25	27	29	30	22	26	17	26	35	25	28	22	26	16	17	19	18	19	20	30	37	42	53	80	74	111	208	396	772	1204	1189	793	365	216	108	89	65	34	37	36	21	23	23	27	22	24	19	27	18	28	28	24	32	23	19	18	15	29	32	23	18	23	24	17	26	23	25	23	21	30	21	29	16	27	23	24	21	28	20	17	19	25	19	28	24	25	19	27	21	20	26	25	21	27	28	20	19	26	26	27	17	22	20	13	25	84244_GATA1_K562_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/84244_GATA1_K562_3_3	K562	GATA1	GATA1	GATA1_HUMAN.H11MO.0.A
8	10	10	13	15	13	7	13	11	11	13	17	7	13	8	14	10	12	10	10	13	20	14	9	21	10	11	18	8	11	9	10	14	17	13	15	9	10	13	11	11	8	16	15	20	14	15	13	12	12	16	13	17	13	14	10	10	18	16	20	20	10	11	13	14	10	25	23	26	56	62	131	274	506	687	621	465	236	107	66	50	27	16	21	13	9	7	18	18	11	18	12	21	9	17	12	16	8	20	16	17	10	13	12	10	21	16	10	11	12	12	15	11	11	10	17	6	10	13	6	10	16	15	18	6	9	7	14	19	11	11	8	8	8	13	9	12	15	13	11	9	9	8	16	14	20	14	15	5	12	8428_GATA1_K562_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/8428_GATA1_K562_3_3	K562	GATA1	GATA1	GATA1_HUMAN.H11MO.0.A
9	9	11	15	10	8	9	9	9	8	15	11	10	8	14	12	12	13	8	12	13	4	18	7	14	3	11	13	14	6	6	8	11	7	7	12	12	5	6	8	11	13	9	14	14	16	13	8	12	13	15	7	15	9	7	6	7	8	13	9	7	6	11	14	12	21	17	24	31	37	75	122	224	478	606	569	327	171	79	52	27	29	25	14	14	9	10	19	9	9	5	15	9	11	8	17	5	11	15	9	20	10	11	10	14	12	12	15	10	11	10	10	12	9	8	8	11	11	8	8	4	18	8	10	11	9	9	8	5	10	14	13	11	8	9	13	6	11	10	10	3	8	7	10	17	13	6	7	12	11	84241_GATA1_K562_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/84241_GATA1_K562_3_3	K562	GATA1	GATA1	GATA1_HUMAN.H11MO.0.A
6	8	5	5	5	4	6	2	3	4	5	5	3	7	9	10	3	7	4	8	6	5	9	4	5	5	5	4	6	4	8	4	4	3	3	1	5	6	8	9	3	3	3	8	5	12	4	5	5	6	7	7	2	4	5	5	3	6	7	5	7	5	6	0	6	11	9	9	16	22	29	52	109	227	417	393	239	115	43	26	16	16	15	8	6	3	7	5	7	12	12	5	3	4	8	7	6	5	6	7	2	4	5	8	10	5	2	8	4	5	10	2	4	3	4	6	7	3	6	2	5	4	7	5	6	5	4	11	9	3	5	4	4	8	4	2	6	3	4	8	5	2	4	5	6	5	5	6	7	3	45970_GATA1_K562_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/45970_GATA1_K562_3_3	K562	GATA1	GATA1	GATA1_HUMAN.H11MO.0.A
13	2	10	15	14	14	15	9	9	7	9	11	11	13	8	14	13	13	6	10	15	12	15	17	11	12	11	13	15	11	3	7	8	12	8	11	11	14	10	17	6	7	8	14	22	12	14	10	13	7	20	13	10	17	14	7	5	16	15	19	14	18	10	15	15	15	23	16	30	48	80	134	249	428	621	608	422	242	109	65	38	28	18	25	11	8	8	13	10	16	12	13	15	6	14	15	13	13	14	17	9	12	15	18	9	19	9	15	11	13	11	8	10	15	13	12	6	6	10	7	6	17	7	12	14	4	11	6	17	15	10	10	2	9	8	13	13	9	11	11	14	13	8	17	15	13	9	14	11	11	8429_GATA1_K562_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/8429_GATA1_K562_3_3	K562	GATA1	GATA1	GATA1_HUMAN.H11MO.0.A
2	6	2	0	0	2	0	4	3	3	4	4	6	2	3	3	4	1	2	2	3	1	2	4	4	2	3	3	8	5	5	6	4	5	4	6	3	5	4	9	6	6	3	8	1	6	11	8	5	4	9	7	7	15	8	11	8	11	10	13	20	24	20	14	8	19	15	11	10	9	6	2	9	3	6	0	8	3	4	5	6	15	4	9	8	10	9	18	15	15	10	14	18	16	4	13	13	8	9	5	9	13	4	5	10	8	12	8	3	7	9	2	6	8	5	6	4	4	5	3	5	7	2	3	7	5	7	4	0	8	2	5	4	4	2	4	2	2	5	6	2	2	0	1	4	3	2	2	3	3	8459_GATA1_K562_3_2	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/8459_GATA1_K562_3_2	K562	GATA1	GATA1	GATA1_HUMAN.H11MO.0.A
