tf	group	class	tissue_advanced	shared_class	specific_group	tissue_specific	ubiquitous	shared	hoco_tf	gene	gc_percentage	length	type	induced
ZN418_HUMAN.H11MO.0.C	induced	induced		induced	induced	0	0	0	ZN418	ZNF418	0.4519999999999999	17	Environmentally Responsive TF	1
NFAC1_HUMAN.H11MO.0.B	induced	induced		induced	induced	0	0	0	NFAC1	NFATC1	0.3909333333333333	15	Environmentally Responsive TF	1
GATA3_HUMAN.H11MO.0.A	induced	induced		induced	induced	0	0	0	GATA3	GATA3	0.3125454545454546	11	Environmentally Responsive TF	1
ESR2_HUMAN.H11MO.0.A	induced	induced		induced	induced	0	0	0	ESR2	ESR2	0.6284372904091213	15	Environmentally Responsive TF	1
ZFP82_HUMAN.H11MO.0.C	induced	induced		induced	induced	0	0	0	ZFP82	ZFP82	0.3826974564926371	24	Environmentally Responsive TF	1
HSF2_HUMAN.H11MO.0.A	induced	induced		induced	induced	0	0	0	HSF2	HSF2	0.4374588671649016	14	Environmentally Responsive TF	1
HXC9_HUMAN.H11MO.0.C	induced	induced		induced	induced	0	0	0	HXC9	HOXC9	0.3166	10	Environmentally Responsive TF	1
MEIS1_HUMAN.H11MO.0.A	induced	induced		induced	induced	0	0	0	MEIS1	MEIS1	0.3027722110888444	12	Environmentally Responsive TF	1
MYB_HUMAN.H11MO.0.A	induced	induced		induced	induced	0	0	0	MYB	MYB	0.5118333333333334	12	Environmentally Responsive TF	1
ZN394_HUMAN.H11MO.0.C	induced	induced		induced	induced	0	0	0	ZN394	ZNF394	0.3804407713498623	20	Environmentally Responsive TF	1
HSF1_HUMAN.H11MO.0.A	induced	induced		induced	induced	0	0	0	HSF1	HSF1	0.4318666666666667	15	Environmentally Responsive TF	1
Z354A_HUMAN.H11MO.0.C	induced	induced		induced	induced	0	0	0	Z354A	ZNF354A	0.31628024193548393	24	Environmentally Responsive TF	1
ANDR_HUMAN.H11MO.0.A	induced	induced		induced	induced	0	0	0	ANDR	AR	0.3445780449788465	18	Environmentally Responsive TF	1
HINFP_HUMAN.H11MO.0.C	induced	induced		induced	induced	0	0	0	HINFP	HINFP	0.5865922473119379	16	Environmentally Responsive TF	1
FOXO4_HUMAN.H11MO.0.C	induced	induced		induced	induced	0	0	0	FOXO4	FOXO4	0.2668451584114235	9	Environmentally Responsive TF	1
ZN582_HUMAN.H11MO.0.C	induced	induced		induced	induced	0	0	0	ZN582	ZNF582	0.4516025641025642	24	Environmentally Responsive TF	1
AP2A_HUMAN.H11MO.0.A	induced	induced		induced	induced	0	0	0	AP2A	TFAP2A	0.6207306728096799	15	Environmentally Responsive TF	1
DBP_HUMAN.H11MO.0.B	induced	induced		induced	induced	0	0	0	DBP	DBP	0.3363636363636364	11	Environmentally Responsive TF	1
NR2C1_HUMAN.H11MO.0.C	induced	induced		induced	induced	0	0	0	NR2C1	NR2C1	0.5609922621756941	13	Environmentally Responsive TF	1
FOXJ3_HUMAN.H11MO.0.A	induced	induced		induced	induced	0	0	0	FOXJ3	FOXJ3	0.19462037270358507	13	Environmentally Responsive TF	1
HXA9_HUMAN.H11MO.0.B	induced	induced		induced	induced	0	0	0	HXA9	HOXA9	0.2612727272727273	11	Environmentally Responsive TF	1
ATF6A_HUMAN.H11MO.0.B	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	ATF6A	ATF6	0.6679487179487179	12	Ubiquitously Shared TF	0
ZN263_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	ZN263	ZNF263	0.6524048096192385	20	Ubiquitously Shared TF	0
TAF1_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	TAF1	TAF1	0.6260000000000002	16	Ubiquitously Shared TF	0
CREM_HUMAN.H11MO.0.C	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	CREM	CREM	0.5352086438152012	11	Ubiquitously Shared TF	0
E2F6_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	E2F6	E2F6	0.6635384615384615	13	Ubiquitously Shared TF	0
FOXI1_HUMAN.H11MO.0.B	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	FOXI1	FOXI1	0.4444444444444445	12	Ubiquitously Shared TF	0
GABPA_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	GABPA	GABPA	0.6139999999999999	14	Ubiquitously Shared TF	0
